Is Duplicate Row?-2,State Full Name,Is Duplicate Row?,VIN (1-10),County,City,Postal Code,Model Year,Vehicle Age,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Longitude,Latitude,Electric Utility,2020 Census Tract
Unique,Washington,Unique,WBA8E1C56H,King,Sammamish,98053,2017,9,Bmw,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,45,476482660,-122.03287,47.68555,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215
Unique,Washington,Unique,KNDJP3AE7G,King,Auburn,98001,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,30,205631457,-122.23035,47.3074,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029901
Unique,Washington,Unique,WBA7J2C51J,King,Bellevue,98004,2018,8,Bmw,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,90700,48,474348269,-122.1872,47.61001,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001
Unique,Washington,Unique,5YJRE1A12A,King,Issaquah,98027,2010,16,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,110950,5,247358450,-122.03439,47.5301,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032604
Unique,Washington,Unique,YV4BR0PLXJ,King,Seattle,98103,2018,8,Volvo,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,36,298759583,-122.35436,47.67596,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702
Unique,Washington,Unique,KNDJX3AE5J,King,Kirkland,98033,2018,8,Kia,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,48,278816310,-122.2066,47.67887,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604
Unique,Washington,Unique,5YJSA1AC7D,King,Bellevue,98005,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,264474892,-122.1621,47.64441,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022805
Unique,Washington,Unique,LYVBR0DM2K,Pierce,Tacoma,98422,2019,7,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,27,476596767,-122.41666,47.30682,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940011
Unique,Washington,Unique,LYVBR0DM3K,King,Seattle,98112,2019,7,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,43,338369720,-122.30716,47.62687,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
Unique,Washington,Unique,YV4BR0DMXJ,King,Seattle,98122,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,37,348429700,-122.31009,47.60803,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007700
Unique,Washington,Unique,2C4RC1L74K,Kitsap,Bainbridge Island,98110,2019,7,Chrysler,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,23,114419329,-122.521,47.62728,PUGET SOUND ENERGY INC,53035090901
Unique,Washington,Unique,LYVBR0DM3J,Spokane,Liberty Lake,99019,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,4,182009096,-117.1015,47.66829,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013205
Unique,Washington,Unique,5YJSA1CP2D,King,Auburn,98092,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,47,2703830,-122.17663,47.32326,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031204
